Time,Symbol,Regime,Action,Equity Allocation,Explanation,Portfolio Value
2026-02-15T23:11:29.758734,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:11:47.635457,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:12:08.713918,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:12:30.497095,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:12:51.724765,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:13:13.206863,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:13:34.156294,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:13:48.938417,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:14:11.021076,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:14:32.564968,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:16:23.630271,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:16:44.828883,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:17:08.015316,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
2026-02-15T23:17:33.487996,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100000.0
